speciesName,genus,speciesEpithet,family,speciesNameComments,photosyntheticPathway_confirmed,photosyntheticPathway_inferred,photosyntheticPathway_combined,source,justification,notes,d13C_perMil,d13CReplicate_perMil,ternVegetationBarcode,ternPrimaryGeneticBarcode,plantMaterialType ,ternPlot,latitude,longitude,dateSurveyed,d13CAdditionalSample_perMil,ternPlotAdditionalSample  ,ternPrimaryGeneticBarcodeAdditionalSample  ,plantMaterialTypeAdditionalSample  ,latitudeAdditionalSample  ,longitudeOfAdditionalSample  ,dateSurveyedAdditionalSample  ,facilityYear
Cyperus_alterniflorus,Cyperus,alterniflorus,Cyperaceae,NA,C3,NA,C3,"Besnard et al., 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trianthema_oxycalyptra,Trianthema,oxycalyptra,Aizoaceae,NA,C4,NA,C4,"Bohley et al., 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trianthema_rhynchocalyptra,Trianthema,rhynchocalyptra,Aizoaceae,NA,C4,NA,C4,"Bohley et al., 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trianthema_rhynchocalyptrum,Trianthema,rhynchocalyptrum,Aizoaceae,NA,C4,NA,C4,"Bohley et al., 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trianthema_turgidifolia,Trianthema,turgidifolia,Aizoaceae,NA,C4,NA,C4,"Bohley et al., 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carex_inversa,Carex,inversa,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysitrix_distigmatosa,Chrysitrix,distigmatosa,Cyperaceae,NA,U,C3,C3,"Bruhl & Wilson, 2007",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_astartodes,Cyperus,astartodes,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_blakeanus,Cyperus,blakeanus,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_carinatus,Cyperus,carinatus,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_centralis,Cyperus,centralis,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_clarus,Cyperus,clarus,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_gracilis,Cyperus,gracilis,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_hamulosus,Cyperus,hamulosus,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_orgadophilus,Cyperus,orgadophilus,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_scaber,Cyperus,scaber,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_sporobolus,Cyperus,sporobolus,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleocharis_caespitosissima,Eleocharis,caespitosissima,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fimbristylis_furva,Fimbristylis,furva,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fimbristylis_polytrichoides,Fimbristylis,polytrichoides,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fimbristylis_rara,Fimbristylis,rara,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gahnia_australis,Gahnia,australis,Cyperaceae,NA,U,C3,C3,"Bruhl & Wilson, 2007",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gahnia_deusta,Gahnia,deusta,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gahnia_drummondii,Gahnia,drummondii,Cyperaceae,NA,U,C3,C3,"Bruhl & Wilson, 2007",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gahnia_erythrocarpa,Gahnia,erythrocarpa,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isolepis_crassiuscula,Isolepis,crassiuscula,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidosperma_costale,Lepidosperma,costale,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidosperma_curtisiae,Lepidosperma,curtisiae,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidosperma_gunnii,Lepidosperma,gunnii,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidosperma_inops,Lepidosperma,inops,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidosperma_leptostachyum,Lepidosperma,leptostachyum,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidosperma_pruinosum,Lepidosperma,pruinosum,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidosperma_squamatum,Lepidosperma,squamatum,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidosperma_tortuosum,Lepidosperma,tortuosum,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidosperma_yonsii,Lepidosperma,yonsii,Cyperaceae,NA,U,C3,C3,"Bruhl & Wilson, 2007",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pycreus_macrostachyos,Pycreus,macrostachyos,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pycreus_pumilus,Pycreus,pumilus,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora_rugosa,Rhynchospora,rugosa,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchospora_subtenuifolia,Rhynchospora,subtenuifolia,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schoenoplectus_litoralis,Schoenoplectus,litoralis,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schoenus_calyptratus,Schoenus,calyptratus,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schoenus_subflavus,Schoenus,subflavus,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scleria_laxa,Scleria,laxa,Cyperaceae,NA,U,C3,C3,"Bruhl & Wilson, 2007",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scleria_polycarpa,Scleria,polycarpa,Cyperaceae,NA,U,C3,C3,"Bruhl & Wilson, 2007",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scleria_pygmaea,Scleria,pygmaea,Cyperaceae,NA,U,C3,C3,"Bruhl & Wilson, 2007",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachystylis_stradbrokensis,Trachystylis,stradbrokensis,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia_inaequiloba,Acacia,inaequiloba,Fabaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia_ligulata,Acacia,ligulata,Fabaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia_myrtifolia,Acacia,myrtifolia,Fabaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia_oswaldii,Acacia,oswaldii,Fabaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia_paradoxa,Acacia,paradoxa,Fabaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia_pycnantha,Acacia,pycnantha,Fabaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia_tetragonophylla,Acacia,tetragonophylla,Fabaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia_victoriae,Acacia,victoriae,Fabaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acaena_echinata,Acaena,echinata,Rosaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectryon_oleifolius,Alectryon,oleifolius,Sapindaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocasuarina_muelleriana,Allocasuarina,muelleriana,Casuarinaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocasuarina_spinosissima,Allocasuarina,spinosissima,Casuarinaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allocasuarina_verticillata,Allocasuarina,verticillata,Casuarinaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amyema_miquelii,Amyema,miquelii,Loranthaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anagallis_arvensis,Anagallis,arvensis,Primulaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristida_contorta,Aristida,contorta,Poaceae,NA,C4,NA,C4,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthropodium_strictum,Arthropodium,strictum,Asparagaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asparagus_asparagoides,Asparagus,asparagoides,Asparagaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astroloma_humifusum,Astroloma,humifusum,Ericaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex_vesicaria,Atriplex,vesicaria,Amaranthaceae,NA,C4,NA,C4,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa_mollis,Austrostipa,mollis,Poaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa_scabra,Austrostipa,scabra,Poaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avena_barbata,Avena,barbata,Poaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beyeria_sulcata,Beyeria,sulcata,Euphorbiaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bossiaea_prostrata,Bossiaea,prostrata,Fabaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome_ciliaris,Brachyscome,ciliaris,Asteraceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brassica_tournefortii,Brassica,tournefortii,Brassicaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Briza_maxima,Briza,maxima,Poaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromus_diandrus,Bromus,diandrus,Poaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunonia_australis,Brunonia,australis,Goodeniaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulbine_alata,Bulbine,alata,Asphodelaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulbine_bulbosa,Bulbine,bulbosa,Asphodelaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bursaria_spinosa,Bursaria,spinosa,Pittosporaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caesia_calliantha,Caesia,calliantha,Hemerocallidaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callitris_glaucophylla,Callitris,glaucophylla,Cupressaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calytrix_tetragona,Calytrix,tetragona,Myrtaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassinia_complanata,Cassinia,complanata,Asteraceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassinia_laevis,Cassinia,laevis,Asteraceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casuarina_pauper,Casuarina,pauper,Casuarinaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaescilla_corymbosa,Chamaescilla,corymbosa,Asparagaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheilanthes_lasiophylla,Cheilanthes,lasiophylla,Pteridaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chenopodium_desertorum,Chenopodium,desertorum,Amaranthaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clematis_microphylla,Clematis,microphylla,Ranunculaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Convolvulus_remotus,Convolvulus,remotus,Convolvulaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymbopogon_ambiguus,Cymbopogon,ambiguus,Poaceae,NA,C4,NA,C4,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daucus_glochidiatus,Daucus,glochidiatus,Apiaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dianella_revoluta,Dianella,revoluta,Hemerocallidaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria_brownii,Digitaria,brownii,Poaceae,NA,C4,NA,C4,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera_auriculata,Drosera,auriculata,Droseraceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosera_whittakeri,Drosera,whittakeri,Droseraceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echium_plantagineum,Echium,plantagineum,Boraginaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Einadia_nutans,Einadia,nutans,Amaranthaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enchylaena_tomentosa,Enchylaena,tomentosa,Amaranthaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon_avenaceus,Enneapogon,avenaceus,Poaceae,NA,C4,NA,C4,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon_cylindricus,Enneapogon,cylindricus,Poaceae,NA,C4,NA,C4,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enneapogon_nigricans,Enneapogon,nigricans,Poaceae,NA,C4,NA,C4,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis_setifolia,Eragrostis,setifolia,Poaceae,NA,C4,NA,C4,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila_deserti,Eremophila,deserti,Scrophulariaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila_longifolia,Eremophila,longifolia,Scrophulariaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eremophila_maculata,Eremophila,maculata,Scrophulariaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erodium_cicutarium,Erodium,cicutarium,Geraniaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus_fasciculosa,Eucalyptus,fasciculosa,Myrtaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus_flindersii,Eucalyptus,flindersii,Myrtaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus_intertexta,Eucalyptus,intertexta,Myrtaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus_obliqua,Eucalyptus,obliqua,Myrtaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus_odorata,Eucalyptus,odorata,Myrtaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia_drummondii,Euphorbia,drummondii,Euphorbiaceae,NA,C4,NA,C4,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euryomyrtus_maidenii,Euryomyrtus,maidenii,Myrtaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eutaxia_microphylla,Eutaxia,microphylla,Fabaceae,APC Comment: Treated as Eutaxia microphylla var. microphylla in Vic,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exocarpos_aphyllus,Exocarpos,aphyllus,Santalaceae,NA,C3,NA,C3,"Caddy-Retalic, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
